"title","creator","subjects","materialtype","usageclass","checkouts","checkoutmonth","publicationyear"
"Blue Lightning: Shetland Island Mystery Series, Book 4 (unabridged)","Ann Cleeves","Fiction, Mystery","AUDIOBOOK","Digital","5","1","2017"
"Argyles and arsenic / Molly MacRae.","MacRae, Molly","Bookstores Scotland Fiction, Women booksellers Fiction, Women detectives Scotland Fiction, Murder Investigation Scotland Fiction, Women authors Crimes against Fiction, Highlands Scotland Fiction, Detective and mystery fiction, Cozy mysteries","BOOK","Physical","1","1","2022."
"The Complete Book of Grant Writing: Learn to Write Grants Like a Professional","Nancy Burke Smith","Business, Nonfiction","EBOOK","Digital","1","1","2012"
"ILLM Europe : rising fashion designers v.1",,,"BOOK","Physical","2","1",
"Green Hills of Africa: The Hemingway Library Edition","Ernest Hemingway","Biography & Autobiography, Travel, Nonfiction","EBOOK","Digital","3","1","2020"
"Murder at a Scottish Wedding (unabridged)","Traci Hall","Fiction, Mystery","AUDIOBOOK","Digital","2","1","2023"
"An ember in the ashes / a novel by Sabaa Tahir.","Tahir, Sabaa","Brothers and sisters Juvenile fiction, Slaves Juvenile fiction, Undercover operations Juvenile fiction, Love Fiction, Fantasy, Young adult fiction","BOOK","Physical","4","1","[2015]"
"Ranma 1/2. 7-8 / story and art by Rumiko Takahashi ; English adaptation, Gerard Jones, Toshifumi Yoshida, Matt Thorn ; touch-up art & lettering, Erika Terriquez.","Takahashi, Rumiko, 1957-","Teenage boys Japan Comic books strips etc, High school students Japan Comic books strips etc, Charms Comic books strips etc, Martial arts Comic books strips etc, Graphic novels","BOOK","Physical","1","1","[2014]"
"Down London Road: On Dublin Street Series, Book 2","Samantha Young","Fiction, Literature, Romance","EBOOK","Digital","2","1","2014"
"Extras: Uglies Series, Book 4","Scott Westerfeld","Science Fiction, Young Adult Fiction","EBOOK","Digital","3","1","2014"
"Yes No Maybe So (unabridged)","Becky Albertalli","Romance, Young Adult Fiction, Young Adult Literature","AUDIOBOOK","Digital","1","1","2020"
"The winter duke / Claire Eliza Bartlett.","Bartlett, Claire Eliza","Nobility Juvenile fiction, Courts and courtiers Juvenile fiction, Blessing and cursing Juvenile fiction, Magic Juvenile fiction, Young adult fiction, Fantasy fiction","BOOK","Physical","2","1","2020."
"The great hotel murder / Vincent Starrett ; introduction by Lyndsay Faye.","Starrett, Vincent, 1886-1974","Hotels Fiction, Theater critics Fiction, Murder Investigation Fiction, Chicago Ill Fiction, Detective and mystery fiction","BOOK","Physical","1","1","2020."
"Please please the bees / Gerald Kelley.","Kelley, Gerald","Bees Juvenile fiction, Bears Juvenile fiction, Honey Juvenile fiction, Strikes and lockouts Juvenile fiction","BOOK","Physical","2","1","2017."
"Something Wicked: Malloren Series, Book 3","Jo Beverley","Fiction, Romance, Historical Fiction","EBOOK","Digital","1","1","2013"
"Winterkeep: Graceling Realm Series, Book 4","Kristin Cashore","Fantasy, Young Adult Fiction, Young Adult Literature, LGBTQIA+ (Fiction)","EBOOK","Digital","7","1","2021"
"Fiona the Flute Fairy: Rainbow Magic: The Music Fairies Series, Book 3","Daisy Meadows","Juvenile Fiction, Juvenile Literature","EBOOK","Digital","1","1","2015"
"The poet X / a novel by Elizabeth Acevedo.","Acevedo, Elizabeth","Teenage girls Juvenile fiction, Dominican Americans Juvenile fiction, High school students Juvenile fiction, Poets Juvenile fiction, Poetry slams Juvenile fiction, Schools Juvenile fiction, Adolescence Juvenile fiction, Self esteem Juvenile fiction, Interpersonal relations Juvenile fiction, Harlem New York N Y Juvenile fiction, Novels in verse, Young adult fiction","BOOK","Physical","7","1","[2018]"
"Dandy / written by Ame Dyckman ; illustrated by Charles Santoso.","Dyckman, Ame","Fathers and daughters Juvenile fiction, Dandelions Juvenile fiction, Weeds Juvenile fiction, Neighborhoods Juvenile fiction, Humorous stories, Humorous fiction, Picture books","BOOK","Physical","4","1","2019."
"Moominpappa at sea / Tove Jansson ; translated by Kingsley Hart.","Jansson, Tove","Islands Juvenile fiction, Lighthouses Juvenile fiction, Moomins Fictitious characters Juvenile fiction, Fantasy fiction","BOOK","Physical","1","1","2010."
"Strong and lean : 9-minute daily workouts to build your best body---no equipment, anywhere, anytime / Mark Lauren and Joshua Clark.","Lauren, Mark, 1972-","Physical fitness, Exercise","BOOK","Physical","5","1","2021."
"Save Steve","Jenni Hendriks","Young Adult Fiction, Young Adult Literature","EBOOK","Digital","1","1","2020"
"Skyward","Mary Alice Monroe","Fiction, Literature","EBOOK","Digital","1","1","2010"
"Yona of the dawn. 7 / story and art by Mizuho Kusanagi ; English adaptation, Ysabet Reinhardt MacFarlane ; translation, JN Productions ; touch-up art & lettering, Lys Blakeslee.","Kusanagi, Mizuho, 1979-","Princesses Comic books strips etc, Adventure and adventurers Comic books strips etc, Graphic novels Japan Translations into English, Fantasy comics, Action and adventure comics, Graphic novels","BOOK","Physical","1","1","[2017]"
"15 minute better back workout / Suzanne Martin.","Martin, Suzanne (Suzanne C.)","Back exercises","BOOK","Physical","1","1","2008."
"Art & fear : observations on the perils (and rewards) of artmaking / David Bayles, Ted Orland.","Bayles, David","Artists Psychology, Creation Literary artistic etc, Artists block, Fear of failure","BOOK","Physical","4","1","[2001]"
"Along for the Ride (unabridged)","Sarah Dessen","Romance, Young Adult Fiction","AUDIOBOOK","Digital","1","1","2022"
"Colombia / by Marion Morrison.","Morrison, Marion","Colombia Juvenile literature, Columbia S C","BOOK","Physical","2","1","[2008]"
"The intolerable hulks : British shipboard confinement, 1776-1857 / Charles Campbell ; [foreword by Esther Heffernan].","Campbell, Charles F., 1924-","Prison hulks Great Britain History 19th century, Prison hulks Great Britain History 18th century, Prisons Great Britain History 19th century, Prisons Great Britain History 18th century","BOOK","Physical","1","1","1994."
"The Stack and Tilt Swing: The Definitive Guide to the Swing That Is Remaking Golf","Michael Bennett","Reference, Sports & Recreations, Nonfiction","EBOOK","Digital","1","1","2009"
"Elantris / Brandon Sanderson.","Sanderson, Brandon","Blessing and cursing Fiction, City and town life Fiction, Princesses Fiction, Princes Fiction, Fantasy fiction","BOOK","Physical","9","1","2015."
"The Rough Guide to Montenegro","Darren (Norm) Longley","Travel, Nonfiction","EBOOK","Digital","1","1","2011"
"Darth Vader, rebel hunter! / written by Lauren Nesworthy.","Nesworthy, Lauren","Space warfare Juvenile fiction, Science fiction","BOOK","Physical","1","1","2016."
"Fallout / Sara Paretsky.","Paretsky, Sara","Warshawski V I Fictitious character Fiction, Women private investigators Illinois Chicago Fiction, Missing persons Fiction, Kansas Fiction, Detective and mystery fiction","BOOK","Physical","2","1","[2017]"
"One Person, One Vote: A Surprising History of Gerrymandering in America (unabridged)","Nick Seabrook","History, Law, Politics, Nonfiction","AUDIOBOOK","Digital","2","1","2022"
"Tough Chicks","Cece Meng","Juvenile Fiction","EBOOK","Digital","1","1","2011"
"All he knew / Helen Frost.","Frost, Helen, 1949-","Inmates of institutions Juvenile fiction, Deaf Juvenile fiction, People with disabilities Juvenile fiction, Conscientious objectors Juvenile fiction, Novels in verse, Historical fiction","BOOK","Physical","2","1","2020."
"English for Everyone Junior 5 Words a Day: Learn and Practise 1,000 English Words","DK","Foreign Language Study, Juvenile Nonfiction, Language Arts","EBOOK","Digital","2","1","2021"
"Birds of Seattle and Puget Sound / Chris C. Fisher ; [illustrations by Gary Ross].","Fisher, Chris, 1970-","Birds Washington State Seattle Identification, Birds Washington State Puget Sound Region Identification, Bird watching Washington State Seattle Guidebooks, Bird watching Washington State Puget Sound Region Guidebooks","BOOK","Physical","1","1","[1996]"
"Churchill and America (unabridged)","Martin Gilbert","Biography & Autobiography, Military, Nonfiction","AUDIOBOOK","Digital","1","1","2014"
"Isolate: The Grand Illusion Series, Book 1","L. E. Modesitt, Jr.","Fantasy, Fiction","EBOOK","Digital","6","1","2021"
"The hidden staircase / by Carolyn Keene.","Keene, Carolyn","Drew Nancy Fictitious character Juvenile fiction, Mystery and detective stories","BOOK","Physical","1","1","[1987]"
"Venice is a fish : a sensual guide / Tiziano Scarpa ; translated by Shaun Whiteside.","Scarpa, Tiziano, 1963-","Venice Italy, Venice Italy Guidebooks","BOOK","Physical","1","1","[2008]"
"Sea of tranquility / Emily St. John Mandel.","Mandel, Emily St. John, 1979-","Space and time Fiction, Space colonies Fiction, Women authors Fiction, Epidemics Fiction, Moon Fiction, Epic fiction, Science fiction, Epic fiction, Science fiction","BOOK","Physical","367","1","2022."
"Jenny Mei is sad / Tracy Subisak.","Subisak, Tracy","Sadness Juvenile fiction, Friendship Juvenile fiction, Picture books","BOOK","Physical","4","1","2021."
"ILLM Irish of Ring Co. Waterford : a phonetic study",,,"BOOK","Physical","2","1",
"The Tale of the Mandarin Duck: A Modern Fable","Bette Midler","Juvenile Fiction, Juvenile Literature, Picture Book Fiction","EBOOK","Digital","1","1","2021"
"The Secret of Shambhala: In Search of the Eleventh Insight: The Celestine Prophecy Series, Book 3","James Redfield","New Age, Nonfiction","EBOOK","Digital","1","1","2012"
"The Galveston hurricane, 1900 / by Lauren Tarshis ; illustrated by Scott Dawson.","Tarshis, Lauren","Hurricanes Texas Galveston History 20th century Juvenile fiction, Floods Texas Galveston History 20th century Juvenile fiction, Survival Texas Galveston History 20th century Juvenile fiction, Galveston Tex History 20th century Juvenile fiction, Hurricanes Fiction, Floods Fiction, Survival Fiction, Galveston Tex History 20th century Fiction, Historical fiction","BOOK","Physical","9","1","[2021]"
"The Metamorphosis: The Illustrated Edition","Peter Kuper","Comic and Graphic Books, Fantasy, Fiction, Literature","EBOOK","Digital","1","1","2011"
"Foolproof One-Pot: 60 Simple and Satisfying Recipes","Alan Rosenthal","Cooking & Food, Nonfiction","EBOOK","Digital","2","1","2021"
"Storybook toys : sew 16 projects from once upon a time : dolls, puppets, softies & more / Jill Hamor.","Hamor, Jill, 1972-","Soft toy making Patterns","BOOK","Physical","1","1","[2012]"
"Anatomy of a witch : a map to the magical body / by Laura Tempest Zakroff ; foreword by Christopher Penczak.","Zakroff, Laura Tempest","Witchcraft, Magic, Mind and body","BOOK","Physical","3","1","[2021]"
"The Odyssey: The Fitzgerald Translation (unabridged)","D. S. Carne-Ross","Fiction, Literature, Poetry","AUDIOBOOK","Digital","5","1","2014"
"Hattie hates hugs / by Sarah Hovorka ; illustrated by Heather Brockman Lee.","Hovorka, Sarah","Hugging Juvenile fiction, Family reunions Juvenile fiction, Families Juvenile fiction, Picture books","BOOK","Physical","2","1","2022."
"A Most Extraordinary Pursuit (unabridged)","Juliana Gray","Fiction, Mystery, Romance, Historical Fiction","AUDIOBOOK","Digital","1","1","2016"
"Sidney Sheldon's Angel of the Dark (unabridged)","Sidney Sheldon","Fiction, Mystery, Suspense, Thriller","AUDIOBOOK","Digital","2","1","2012"
"Deny All Charges: The Fowl Twins Series, Book 2 (unabridged)","Eoin Colfer","Fantasy, Juvenile Fiction, Juvenile Literature","AUDIOBOOK","Digital","1","1","2020"
"The Dirt: Confessions of the World's Most Notorious Rock Band (unabridged)","Tommy Lee","Biography & Autobiography, Music, Nonfiction","AUDIOBOOK","Digital","4","1","2019"
"Dark Truth: Truth Series, Book 3","Mariah Stewart","Fiction, Romance, Suspense, Thriller","EBOOK","Digital","3","1","2011"
"Batavia's Graveyard: The True Story of the Mad Heretic Who Led History's Bloodiest Mutiny","Mike Dash","History, Nonfiction","EBOOK","Digital","1","1","2010"
"Salad Freak: Recipes to Feed a Healthy Obsession","Jess Damuck","Cooking & Food, Nonfiction","EBOOK","Digital","17","1","2022"
"I hope you're listening / Tom Ryan.","Ryan, Tom, 1977 February 26-","Missing children Juvenile fiction, Kidnapping Juvenile fiction, Podcasts Juvenile fiction, Identity Philosophical concept Juvenile fiction, Lesbians Juvenile fiction, Detective and mystery stories, Missing children Fiction, Kidnapping Fiction, Podcasts Fiction, Identity Fiction, Lesbians Fiction, Mystery and detective stories, Detective and mystery fiction","BOOK","Physical","2","1","2021."
"Learning and teaching while white : antiracist strategies for school communities / Jenna Chandler-Ward and Elizabeth Denevi ; foreword by Howard C. Stevenson.","Chandler-Ward, Jenna","Critical pedagogy United States, Racism in education United States, Anti racism United States, Whites United States Race identity","BOOK","Physical","1","1","[2022]"
"Book Scavenger / Jennifer Chambliss Bertman ; with illustrations by Sarah Watts.","Bertman, Jennifer Chambliss","Treasure hunt Game Juvenile fiction, Books and reading Juvenile fiction, Publishers and publishing Juvenile fiction, Moving Household Juvenile fiction, Adventure and adventurers Fiction, Mystery and detective stories, San Francisco Calif Juvenile fiction, Adventure fiction","BOOK","Physical","5","1","2015."
"The Diary of a Chambermaid","Octave Mirbeau","Classic Literature, Fiction, Literature","EBOOK","Digital","1","1","2016"
"Edgar Allan Poe's Complete Poetical Works","Edgar Allan Poe","Fiction, Poetry","EBOOK","Digital","1","1","2021"
"Donut Fall in Love (unabridged)","Jackie Lau","Fiction, Literature, Romance, Humor (Fiction)","AUDIOBOOK","Digital","2","1","2021"
"Why Do Volcanoes Blow Their Tops?: Questions and Answers about Volcanoes and Earthquakes","Melvin Berger","Juvenile Nonfiction, Reference","EBOOK","Digital","2","1","2005"
"Arabia Felix : the Danish expedition of 1761-1767 / Thorkild Hansen ; translated from the Danish by James McFarlane and Kathleen McFarlane ; introduction by Colin Thubron.","Hansen, Thorkild, 1927-1989,","Niebuhr Carsten 1733 1815 Travel Arabian Peninsula, Niebuhr Carsten 1733 1815 Travel Yemen Republic, Danes Travel Arabian Peninsula History 18th century, Danes Travel Yemen Republic History 18th century, Scientific expeditions Arabian Peninsula History 18th century, Scientific expeditions Yemen Republic History 18th century, Arabian Peninsula Description and travel, Yemen Republic Description and travel","BOOK","Physical","1","1","2017."
"Notes from underground : zines and the politics of alternative culture / Stephen Duncombe.","Duncombe, Stephen","Zines United States, Little magazines United States, Underground periodicals United States, Press and politics United States","BOOK","Physical","1","1","[2017]"
"I spy a dinosaur's eye / riddles by Jean Marzollo ; photographs by Walter Wick.","Marzollo, Jean","Picture puzzles Juvenile literature","BOOK","Physical","3","1","[2003]"
"Tiny : Streetwise revisited / Mary Ellen Mark ; essays: Isabel Allende & John Irving.","Mark, Mary Ellen, 1940-2015,","Documentary photography, Portrait photography","BOOK","Physical","5","1","[2015]"
"Sailor Proof--An LGBTQ Romance: Shore Leave Series, Book 1","Annabeth Albert","Fiction, Romance, LGBTQIA+ (Fiction)","EBOOK","Digital","3","1","2021"
"501 Russian verbs : fully conjugated in all the tenses in a new, easy-to-learn format, alphabetically arranged / by Thomas R. Beyer, Jr.","Beyer, Thomas R.","Russian language Verb","BOOK","Physical","1","1","[2018]"
"Maker lab : 28 super cool projects : build, invent, create, discover / writer and consultant, Jack Challoner ; foreword by Jack Andraka.","Challoner, Jack","Science projects Juvenile literature, Science Experiments Juvenile literature","BOOK","Physical","9","1","2016."
"Minecraft: The Lost Journals: An Official Minecraft Novel","Mur Lafferty","Fantasy, Juvenile Fiction, Juvenile Literature","EBOOK","Digital","1","1","2019"
"Malice: A Novel (unabridged)","Heather Walter","Fantasy, Fiction, Mythology, LGBTQIA+ (Fiction)","AUDIOBOOK","Digital","8","1","2021"
"Saint Anything (unabridged)","Sarah Dessen","Romance, Young Adult Fiction, Young Adult Literature","AUDIOBOOK","Digital","1","1","2015"
"The Innocent: Marshal Guarnaccia Series, Book 13","Magdalen Nabb","Fiction, Mystery","EBOOK","Digital","1","1","2013"
"1776 (unabridged)","David McCullough","Biography & Autobiography, History, Military, Nonfiction","AUDIOBOOK","Digital","13","1","2015"
"The spy : a novel / Paulo Coelho ; translated from the Portuguese by Zoë Perry.","Coelho, Paulo","Mata Hari 1876 1917 Fiction, World War 1914 1918 Secret service Fiction, Women spies Fiction, Spy fiction, Biographical fiction, Historical fiction","BOOK","Physical","1","1","2016."
"The ragged edge of night / Olivia Hawker.","Hawker, Libbie","Rote Kapelle Resistance group Fiction, Nazis Germany Fiction, World War 1939 1945 Germany Fiction, Anti Nazi movement Germany Fiction, World War 1939 1945 Underground movements, Historical fiction","BOOK","Physical","1","1","[2018]"
"Endangered species / Sean Sheehan.","Sheehan, Sean, 1951-","Endangered species Juvenile literature","BOOK","Physical","1","1","2009."
"Deep Storm: Jeremy Logan Series, Book 1","Lincoln Child","Fiction, Science Fiction, Suspense, Thriller","EBOOK","Digital","5","1","2010"
"Rodham: A Novel (unabridged)","Curtis Sittenfeld","Fiction, Literature","AUDIOBOOK","Digital","3","1","2020"
"Basketball camp go-getter / by Dionna L. Mann ; illustrated by Amanda Erb.","Mann, Dionna L.","Wheelchair basketball Juvenile fiction, Children with disabilities Juvenile fiction, Frustration Juvenile fiction, Friendship Juvenile fiction, Wheelchair basketball Fiction, Basketball Fiction, Wheelchairs Fiction, People with disabilities Fiction, Frustration Fiction, Friendship Fiction, Picture books, Sports fiction, Readers Publications","BOOK","Physical","3","1","[2023]"
"Aloha rodeo : three Hawaiian cowboys, the world's greatest rodeo, and a hidden history of the American West / David Wolman and Julian Smith.","Wolman, David (Journalist)","Cheyenne Frontier Days Celebration Cheyenne Wyo History, Rodeos Wyoming Cheyenne History, Cowboys Hawaii History, Ranch life Hawaii History","BOOK","Physical","1","1","[2019]"
"The Way Back (unabridged)","Gavriel Savit","Fantasy, Mythology, Young Adult Fiction, Young Adult Literature","AUDIOBOOK","Digital","2","1","2020"
"The Son of the House (unabridged)","Cheluchi Onyemelukwe-Onuobia","Fiction, Literature","AUDIOBOOK","Digital","1","1","2022"
"Hot and cold / by Gini Holland.","Holland, Gini","Heat Juvenile literature, Cold Juvenile literature","BOOK","Physical","1","1","2008."
"The Year's Best Dark Fantasy & Horror, 2012 Edition","Paula Guran","Fantasy, Fiction, Horror, Short Stories","EBOOK","Digital","1","1","2015"
"The Loophole","Naz Kutub","Young Adult Fiction, Young Adult Literature, LGBTQIA+ (Fiction)","EBOOK","Digital","3","1","2022"
"Unwell Women: Misdiagnosis and Myth in a Man-Made World (unabridged)","Elinor Cleghorn","Health & Fitness, History, Women's Studies, Nonfiction","AUDIOBOOK","Digital","9","1","2021"
"The Wonder of You","Susan May Warren","Fiction, Literature, Romance, Christian Fiction","EBOOK","Digital","1","1","2015"
"Play of Passion: Psy-Changeling Series, Book 9","Nalini Singh","Fantasy, Fiction, Literature, Romance","EBOOK","Digital","2","1","2011"
"Purple Crayons: The Art of Drawing a Life (unabridged)","Ross Ellenhorn","Psychology, Self-Improvement, Nonfiction","AUDIOBOOK","Digital","2","1","2022"
"The Nightingale Before Christmas (unabridged)","Donna Andrews","Fiction, Literature, Mystery","AUDIOBOOK","Digital","1","1","2014"
"Matched: Matched Trilogy, Book 1","Ally Condie","Romance, Science Fiction & Fantasy, Young Adult Fiction, Young Adult Literature","EBOOK","Digital","7","1","2011"
"Grow more with less / Vincent A. Simeone.","Simeone, Vincent A.","Sustainable horticulture, Organic gardening, Landscape gardening, Gardening Environmental aspects","BOOK","Physical","1","1","2013."
"King Arthur and his knights of the Round Table / Roger Lancelyn Green ; introduced by David Almond ; illustrations by Lotte Reiniger.","Green, Roger Lancelyn","Arthur King Juvenile literature, Knights and knighthood Great Britain Juvenile fiction, Britons Kings and rulers Juvenile literature, Arthurian romances Adaptations Juvenile literature","BOOK","Physical","4","1","2008."
"The everything Peruvian cookbook / Morena Cuadra and Morena Escardó.","Cuadra, Morena","Cooking Peruvian, Cookbooks","BOOK","Physical","1","1","[2013]"
"The Color of Air: A Novel (unabridged)","Gail Tsukiyama","Fiction, Literature","AUDIOBOOK","Digital","2","1","2020"
"Sleeping Beauty / [text by Alison Sage] ; [illustrations by] Sarah Gibb.","Sage, Alison","Sleeping Beauty Tale Juvenile fiction, Fairy tales Adaptations Juvenile fiction, Fairy tales","BOOK","Physical","4","1","2015."
"What makes a potter : functional pottery in America today / Janet Koplos.","Koplos, Janet","Pottery United States History","BOOK","Physical","3","1","[2019]"
"The Second Book of General Ignorance: Everything You Think You Know Is (Still) Wrong","John Lloyd","Reference, Nonfiction, Humor (Nonfiction)","EBOOK","Digital","2","1","2011"
"Found","Joseph Bruchac","Mystery, Young Adult Fiction","EBOOK","Digital","1","1","2022"
"Blindside","James Patterson","Fiction, Mystery, Suspense, Thriller","EBOOK","Digital","2","1","2020"
"The new friend fix / by Jennifer Torres ; illustrated by Gladys Jose.","Torres, Jennifer, 1980-","Disguise Juvenile fiction, Magic Juvenile fiction, Hispanic Americans Juvenile fiction, Friendship Juvenile fiction, Cousins Juvenile fiction, Television soap operas Juvenile fiction, School fiction, Detective and mystery fiction","BOOK","Physical","1","1","2022."
"Samurai revolution : the dawn of modern Japan seen through the eyes of the shogun's last samurai / Romulus Hillsborough.","Hillsborough, Romulus","Samurai Japan History, Japan History Restoration 1853 1870, Japan History Tokugawa period 1600 1868","BOOK","Physical","1","1","©2014."
"The book of not entirely useful advice / A.F. Harrold ; illustrated by Mini Grey.","Harrold, A. F., 1975-","Childrens poetry English, Humorous poetry English, Poetry","BOOK","Physical","2","1","2021."
"This Time Next Year We'll Be Laughing (unabridged)","Jacqueline Winspear","Biography & Autobiography, Nonfiction","AUDIOBOOK","Digital","11","1","2020"
"The blazing world : a novel / Siri Hustvedt.","Hustvedt, Siri","Women artists Fiction, Teachers Fiction, Death Fiction, Psychological fiction, Mystery fiction","BOOK","Physical","1","1","2014."
"Three Doors to Death: Nero Wolfe Series, Book 17","Rex Stout","Fiction, Mystery, Suspense, Thriller","EBOOK","Digital","2","1","2012"
"Birds / written by Pamela Hickman ; illustrated by Carolyn Gavin.","Hickman, Pamela","Birds Juvenile literature, Birds Behavior Juvenile literature, Birds Life cycles Juvenile literature, Birds Habitat Juvenile literature, Instructional and educational works, Picture books","BOOK","Physical","2","1","[2020]"
"Inside your outside! / by Tish Rabe ; illustrated by Aristides Ruiz.","Rabe, Tish","Human anatomy Juvenile literature, Human body Juvenile literature","BOOK","Physical","3","1","[2003]"
"Rebel Girls Champions: 25 Tales of Unstoppable Athletes","Rebel Girls","Biography & Autobiography, Juvenile Nonfiction, Reference, Sports & Recreations","EBOOK","Digital","1","1","2021"
"People of the city / Cyprian Ekwensi ; introduction by Emmanuel Iduma.","Ekwensi, Cyprian","City and town life Nigeria Fiction, Africa West Social conditions 20th century Fiction","BOOK","Physical","1","1","[2020]"
"The Forbidden Worlds of Haruki Murakami","Matthew Carl Strecher","History, Literary Criticism, Nonfiction","EBOOK","Digital","1","1","2022"
"Mr. Bonaparte of Corsica","John Kendrick Bangs","Classic Literature, Fiction, Historical Fiction, Humor (Fiction)","EBOOK","Digital","1","1","2021"
"High Tide in Hawaii: Magic Tree House Series, Book 28 (unabridged)","Mary Pope Osborne","Juvenile Fiction, Juvenile Literature, Science Fiction & Fantasy, Historical Fiction","AUDIOBOOK","Digital","2","1","2020"
"Eugenia Lincoln and the unexpected package / Kate DiCamillo ; illustrated by Chris Van Dusen.","DiCamillo, Kate","Humorous stories, Accordion Juvenile fiction, Humorous fiction","BOOK","Physical","3","1","2017."
"Joyful stitch combinations : 350 embroidery designs, seams & samplers / Valerie Bothell.","Bothell, Valerie, 1962-","Stitches Sewing, Embroidery","BOOK","Physical","2","1","[2022]"
"And Yet: Poems (unabridged)","Kate Baer","Fiction, Poetry, Romance","AUDIOBOOK","Digital","4","1","2022"
"Liquid Intelligence: The Art and Science of the Perfect Cocktail","Dave Arnold","Cooking & Food, Nonfiction","EBOOK","Digital","3","1","2015"
"Gilded Cage","Vic James","Fantasy, Fiction, Science Fiction","EBOOK","Digital","1","1","2017"
"Seduction by the Stars: An Astrologcal Guide To Love, Lust, And Intimate Relationships","Ren Lexander","Family & Relationships, New Age, Nonfiction","EBOOK","Digital","2","1","2009"
"Writing Away: A Creative Guide to Awakening the Journal-Writing Traveler","Lavinia Spalding","Reference, Travel, Nonfiction","EBOOK","Digital","1","1","2009"
"Radical intimacy : cultivate the deeply connected relationships you desire and deserve / Zoë Kors.","Kors, Zoë","Intimacy Psychology, Self help publications","BOOK","Physical","2","1","2022."
"My Lord John: A tale of intrigue, honor and the rise of a king","Georgette Heyer","Fiction, Literature, Historical Fiction","EBOOK","Digital","3","1","2010"
"Horse: A Novel (unabridged)","Geraldine Brooks","Fiction, Literature, Historical Fiction","AUDIOBOOK","Digital","90","1","2022"
"Amelia Bedelia means business / by Herman Parish ; pictures by Lynne Avril.","Parish, Herman","Amelia Bedelia Fictitious character Juvenile fiction, Business enterprises Juvenile fiction, Humorous stories","BOOK","Physical","4","1","[2013]"
"Negotiating the Nonnegotiable: How to Resolve Your Most Emotionally Charged Conflicts (unabridged)","Daniel Shapiro","Business, Politics, Psychology, Nonfiction","AUDIOBOOK","Digital","6","1","2016"
"Good Neighbors: A Novel (unabridged)","Sarah Langan","Fiction, Literature, Suspense, Thriller","AUDIOBOOK","Digital","1","1","2021"
"Grow : secrets of our DNA / Nicola Davies ; illustrated by Emily Sutton.","Davies, Nicola, 1958-","DNA Juvenile literature, Genes Juvenile literature, Growth Juvenile literature","BOOK","Physical","2","1","2020."
"Mīnna akubi donna akubi / bun/e, Bijsterbosch Anita ; yaku, Takeuchi Toshie.","Bijsterbosch, Anita","Animals Juvenile fiction, Yawning Juvenile fiction, Picture books for children, Japanese language materials, Lift the flap books","BOOK","Physical","2","1","2019."
"California rising : the life and times of Pat Brown / Ethan Rarick.","Rarick, Ethan, 1964-","Brown Edmund G Edmund Gerald 1905 1996, Brown Edmund G Edmund Gerald 1905 1996 Family, Brown family, Governors California Biography, California Politics and government 1951, California Social conditions 20th century","BOOK","Physical","1","1","[2005]"
"The Quantum Labyrinth: How Richard Feynman and John Wheeler Revolutionized Time and Reality (unabridged)","Paul Halpern","Science, Nonfiction","AUDIOBOOK","Digital","3","1","2017"
"My mother's secret : based on a true holocaust story / J.L. Witterick.","Witterick, J. L.","World War 1939 1945 Poland Fiction, Jews Poland Fiction, Families Poland History 20th century Fiction, Holocaust Jewish 1939 1945 Poland Fiction, Historical fiction, Romans … clef","BOOK","Physical","1","1","2013."
"Taste your words / written by Bonnie Clark ; illustrated by Todd Bright.","Clark, Bonnie, 1979-","Thoughtfulness Juvenile fiction, Taste Juvenile fiction, Human behavior Juvenile fiction, Picture books","BOOK","Physical","3","1","[2020]"
"The Complete Modern Pantry: 350+ Ways to Cook Well with What's on Hand","America's Test Kitchen","Cooking & Food, Nonfiction","EBOOK","Digital","5","1","2022"
"It's Christmas, David!","David Shannon","Juvenile Fiction, Picture Book Fiction","EBOOK","Digital","2","1","2016"
"When I Feel Jealous","Cornelia M. Spelman","Juvenile Fiction, Picture Book Fiction","EBOOK","Digital","1","1","2014"
"Diario de Nikki. 7, Una famosa con poco estilo / Rachel Renee Russell.","Russell, Rachel Renée","Reality television programs Juvenile fiction, Sound recordings Production and direction Juvenile fiction, Bands Music Juvenile fiction, Friendship Juvenile fiction, Diaries Juvenile fiction, Spanish language materials","BOOK","Physical","1","1","2015."
"Rainer Maria Rilke : selected poems / translated by Albert Ernest Flemming ; with an introduction by Victor Lange.","Rilke, Rainer Maria, 1875-1926","Rilke Rainer Maria 1875 1926 Translations into English","BOOK","Physical","1","1","1986."
"What I Know For Sure (unabridged)","Oprah Winfrey","New Age, Self-Improvement, African American Nonfiction, Nonfiction","AUDIOBOOK","Digital","12","1","2014"
"The Clockwork Scarab: The Stoker & Holmes Novels, Book 1","Colleen Gleason","Fantasy, Mystery, Science Fiction, Young Adult Fiction","EBOOK","Digital","1","1","2013"
"Traveltalk® Euro-Spanish (unabridged)","Penton Overseas, Inc.","Foreign Language Study, Nonfiction, Foreign Language Study - Spanish","AUDIOBOOK","Digital","4","1","2007"
"Who killed these girls? : cold case : the yogurt shop murders / Beverly Lowry.","Lowry, Beverly","Murder Texas Austin Case studies, Murder Investigation Texas Austin Case studies, Cold cases Criminal investigation Texas Austin Case studies, True crime stories","BOOK","Physical","1","1","2016."
